person	sentence	type
other	i invite you to drink a cup of tea with me	meeting
owner	this place makes a good coffee lets go to try it	nothing
other	this place makes a good coffee lets go to try it	nothing
owner	i need a drink lets go to take it	nothing
other	i need a drink lets go to take it	nothing
owner	he would drink with you	nothing
other	he would drink with you	nothing
owner	what time are we going to leave tomorrow	travel
other	what time are we going to leave tomorrow	nothing
owner	i will leave cairo this morning at ten clock	travel
other	i will leave cairo this morning at ten clock	nothing
owner	i want to leave you and travel to england on monday	travel
other	i want to leave you and travel to england on monday	nothing
owner	i will visit you tomorrow morning	visit
other	i will visit you tomorrow morning	visit
owner	lets visit the pyramids tomorrow	travel
other	lets visit the pyramids tomorrow	travel
owner	i will visit my uncle in the morning	visit
other	i will visit my uncle in the morning	nothing
owner	i am going to play football tonight at eight PM	event
other	i am going to play football tonight at eight PM	nothing
owner	would you like to play a game with me tomorrow	event
other	would you like to play a game with me tomorrow	nothing
owner	tomorrow we are going to play a basketball	event
other	tomorrow we are going to play a basketball	nothing
owner	lets play football tonight	event
other	lets play football tonight	event
owner	we are going to play a new game	nothing
other	we are going to play a new game	nothing
owner	i will teach how you to play well tomorrow	nothing
other	i will teach how you to play well tomorrow	nothing
owner	do you want to play with us	nothing
other	do you want to play with us	nothing
owner	i will leave cairo at ten AM	travel
other	i will leave cairo at ten AM	nothing
owner	i will come to paris at six PM	travel
other	i will come to paris at six PM	nothing
owner	we will talk to you tomorrow	nothing
other	we will talk to you tomorrow	nothing
owner	i will watch this series everyday at nine PM	event
other	i will watch this series everyday at nine PM	nothing
owner	i invite you to come to me tomorrow at eight thirty AM	visit
other	i invite you to come to me tomorrow at eight thirty AM	visit
